celula_id,semilla_y,semilla_x,area_px,perimetro_px,excentricidad,solidez,diametro_equiv,intensidad_media
1,870.6444444444444,873.5444444444445,90.0,44.17766952966369,0.7215372021077967,0.72,10.704744696916627,204.0
2,643.2259887005649,1531.7514124293784,177.0,85.01219330881975,0.9304584117672987,0.7629310344827587,15.012108426804138,197.41242937853107
3,644.7336683417085,585.1959798994975,199.0,98.32590180780451,0.9687697538160953,0.6378205128205128,15.91774699517169,198.0502512562814
4,315.8029197080292,615.2408759124088,137.0,63.2842712474619,0.9307733708429303,0.7135416666666666,13.207339536360731,195.32116788321167
5,164.1382113821138,285.3008130081301,123.0,51.870057685088796,0.8327367345446977,0.8367346938775511,12.514330345744634,193.41463414634146
7,296.9207920792079,1053.029702970297,101.0,51.8700576850888,0.9374800548994606,0.7266187050359713,11.340070282773887,186.9108910891089
9,851.887573964497,1239.4852071005917,169.0,86.42640687119285,0.8325555269772107,0.5152439024390244,14.668929172241665,185.65680473372782
10,1048.445205479452,493.5890410958904,146.0,55.526911934581186,0.7876189966932234,0.8156424581005587,13.63425735166143,180.5
11,440.65671641791045,1213.1119402985075,134.0,82.04772721475248,0.9780977363679866,0.694300518134715,13.061933202803933,184.47761194029852
12,688.5196078431372,221.02941176470588,102.0,42.798989873223334,0.8020399799259917,0.8360655737704918,11.396070970426017,178.2156862745098
14,129.57142857142858,1480.5126050420167,119.0,48.62741699796952,0.8307624577428689,0.85,12.309163489997376,178.3109243697479
16,80.53,841.8,100.0,63.248737341529164,0.8943738899077588,0.49504950495049505,11.283791670955125,174.24
19,303.016,242.048,125.0,47.698484809834994,0.6095169990922469,0.8445945945945946,12.6156626101008,168.544
20,144.88636363636363,1057.340909090909,132.0,50.62741699796952,0.7456687075320685,0.825,12.964089628857149,167.36363636363637
24,113.7875,771.525,80.0,45.83452377915606,0.9393204604475738,0.7619047619047619,10.092530088080641,168.6375
25,513.6551724137931,950.1379310344828,174.0,99.94112549695427,0.9956148453692804,0.6850393700787402,14.884343478431232,173.28735632183907
28,760.8272727272728,85.63636363636364,110.0,53.04163056034262,0.9473726241255509,0.6547619047619048,11.834540545406394,164.22727272727272
30,49.8475935828877,429.66042780748666,374.0,175.26093065034894,0.9940440246459108,0.6111111111111112,21.821814538001895,161.00267379679144
32,233.6910569105691,1271.3821138211383,123.0,68.11269837220809,0.9050131607195758,0.6243654822335025,12.514330345744634,159.0569105691057
33,1052.1073170731706,1445.9463414634147,205.0,84.42640687119285,0.5500086906924476,0.721830985915493,16.15593100600236,157.66829268292682
35,682.1023622047244,1486.4566929133857,127.0,48.21320343559643,0.7707597688555167,0.8246753246753247,12.716187407449045,149.3464566929134
36,252.9433962264151,834.2924528301887,106.0,45.00609665440987,0.7686357441608097,0.8412698412698413,11.617374563210365,150.32075471698113
37,935.4078212290502,289.20111731843576,179.0,62.8700576850888,0.9328048381315598,0.8564593301435407,15.09668435477122,149.0223463687151
39,308.2121212121212,860.1454545454545,165.0,62.52691193458118,0.9328965211648929,0.7746478873239436,14.494292838262302,147.9878787878788
42,1165.7281553398059,1153.6601941747572,103.0,52.45584412271571,0.9315319128233317,0.6645161290322581,11.451797811161432,145.75728155339806
47,755.4220183486239,1468.48623853211,109.0,63.698484809834994,0.980022240765751,0.6566265060240963,11.780624362746345,137.87155963302752
48,934.2340425531914,1362.212765957447,94.0,44.17766952966369,0.6786938202075327,0.831858407079646,10.940041919714261,134.62765957446808
53,138.14912280701753,172.3859649122807,114.0,45.21320343559643,0.6078535741692458,0.8321167883211679,12.047792665040703,130.8421052631579
61,404.5347593582888,1207.1176470588234,187.0,68.18376618407356,0.915902015080123,0.7857142857142857,15.430353037616328,123.89304812834224
67,231.5737704918033,756.0491803278688,122.0,75.52691193458118,0.9500691921087135,0.49795918367346936,12.463355264843006,127.15573770491804
70,663.2772277227723,833.6435643564356,101.0,49.04163056034261,0.8740378334800368,0.753731343283582,11.340070282773887,121.10891089108911
103,163.72289156626505,976.9819277108434,166.0,106.35533905932738,0.9820201076207992,0.4896755162241888,14.538148590038452,108.76506024096386
117,79.16666666666667,160.33333333333334,84.0,48.62741699796952,0.928548411614838,0.7924528301886793,10.341765891652821,99.89285714285714
119,375.88461538461536,471.5153846153846,130.0,87.97665940288702,0.9924302243815047,0.46099290780141844,12.865501965161373,108.26153846153846
137,1163.9554140127389,1265.6114649681529,157.0,67.94112549695429,0.8558112045071916,0.6916299559471366,14.138550439257221,89.1656050955414
147,197.484126984127,1026.0,126.0,82.94112549695427,0.8430594913915473,0.40384615384615385,12.666024736934256,93.96031746031746
159,1114.271446862996,645.9167733674776,781.0,501.6761902332486,0.8109634144308657,0.21586511885019347,31.534109856442154,94.50704225352112
