celula_id,semilla_x,semilla_y,area_px,intensidad_media
1,1052,501,2947,232.6776382762131
2,280,913,295,237.71186440677965
3,801,1069,3303,232.1474417196488
4,367,596,1409,232.7594038325053
5,842,975,10639,229.84791803740953
6,430,87,17410,229.74399770246984
7,1137,42,13615,229.213441057657
9,1432,561,6072,229.93066534914362
10,958,592,33665,229.20201990197535
11,531,598,6311,230.50879416891144
12,830,892,14723,228.10323982883924
13,645,165,19571,229.52685095294058
14,1037,750,43510,228.6773385428637
15,1533,416,1159,228.62899050905955
17,1438,187,3031,227.36258660508082
18,304,601,15508,228.10530049006965
19,1288,351,751,230.29161118508654
23,669,860,4706,228.93795155121123
24,424,587,21023,229.09365932550065
26,125,130,2904,229.6181129476584
27,31,882,5983,227.34330603376233
29,603,715,60578,226.58004556109478
30,474,1123,7459,228.21772355543638
31,380,979,6788,227.9759870359458
35,560,654,1900,228.09105263157895
36,1077,618,1337,228.5572176514585
38,1073,1039,26207,226.3229289884382
39,778,330,447,230.0022371364653
40,428,280,1406,226.25817923186344
42,1181,654,57414,227.8803253561849
46,699,242,1164,226.85652920962198
52,186,60,1392,228.72844827586206
56,847,116,21995,228.7602636962946
61,1054,661,629,228.2925278219396
62,47,1071,15105,227.44475339291625
67,269,1121,22683,226.79976193625183
76,1031,167,871,226.78760045924224
79,712,619,17173,227.5866767600303
81,519,866,15378,227.61724541552869
82,1049,407,4144,228.50796332046332
86,97,576,2909,226.1361292540392
91,417,1092,4693,227.25953547837204
92,521,73,16143,223.66852505730037
95,1335,1099,37691,225.38566235971453
96,1149,277,1132,224.95759717314488
100,67,475,889,225.70978627671542
103,109,733,432,227.44907407407408
104,1438,1094,1552,226.89755154639175
111,958,217,5604,226.03658101356174
116,1489,873,18947,226.4125719111205
125,178,396,496,227.39112903225808
129,1366,50,13574,225.21150729335494
131,1187,241,571,226.98248686514887
137,784,641,1846,225.7632719393283
138,651,1071,639,226.35367762128325
139,568,343,3904,224.828125
145,653,268,2836,224.48660084626235
146,197,1166,5391,225.68799851604527
148,366,226,912,225.54276315789474
150,155,644,1503,226.56553559547572
151,329,229,20354,225.29591235138057
153,1315,154,1716,226.41724941724942
156,98,653,2147,226.4979040521658
161,629,1003,5644,224.6966690290574
166,175,701,6057,224.7160310384679
168,28,483,1293,224.63727764887858
173,942,1109,2665,225.81500938086305
174,1554,365,1714,224.95274212368727
177,316,717,118259,222.04202639968204
180,1402,658,2840,225.5031690140845
183,303,408,876,226.425799086758
200,1130,176,2972,225.13257065948855
204,1518,225,333,226.63963963963963
208,80,1168,7756,223.93231046931407
214,810,31,2757,225.92237939789626
215,1502,1135,10149,224.43610207902256
216,868,1141,2367,225.51457541191382
217,472,841,2925,222.60786324786324
218,1311,467,475,226.3621052631579
222,1001,35,19460,222.32970195272352
224,1449,955,463,226.29589632829374
225,1360,1161,1137,226.50131926121372
228,607,650,489,226.44376278118608
236,595,1132,513,227.01559454191033
250,478,910,1129,224.60318866253323
252,1187,334,6972,222.52380952380952
254,38,674,660,225.47575757575757
256,258,422,681,224.19676945668135
260,273,716,610,226.1377049180328
261,198,797,1430,222.36503496503497
270,1241,493,964,224.3122406639004
272,809,602,498,225.0120481927711
275,1234,989,1499,223.91861240827217
276,1496,989,4556,224.0013169446883
278,1220,890,1420,224.14014084507042
283,682,993,1225,223.83510204081634
284,26,751,1199,223.40366972477065
286,66,333,23177,219.4972602148682
287,73,176,2140,224.09252336448597
288,1227,788,28415,218.28270279781805
292,634,1145,1793,225.14333519241495
295,1402,174,10426,221.56589295990793
297,1453,727,1213,224.36521022258862
306,1361,649,263,224.6045627376426
308,138,605,4107,220.33601168736303
310,104,36,1507,225.11413404114134
311,1177,836,1392,223.7744252873563
312,258,336,3496,221.44908466819223
315,1072,313,239,223.84937238493723
316,1475,594,2009,223.1114982578397
317,1506,726,6791,223.0590487409807
322,1502,1077,668,224.4131736526946
323,138,63,1152,223.98784722222223
326,1295,78,1138,224.03514938488576
332,1367,705,1005,222.09253731343284
333,1088,1155,2845,224.10158172231985
335,237,368,1110,223.03603603603602
338,947,443,618,222.86569579288025
344,263,75,2865,220.93856893542758
346,719,187,690,222.08695652173913
348,799,289,118788,216.98534363740444
350,1181,411,973,223.57142857142858
351,1332,376,3467,221.43351600807614
353,1360,134,7548,219.71356650768416
355,1265,418,71422,216.07766514519335
362,160,106,267,222.625468164794
365,1484,927,152,223.2828947368421
366,168,164,234,222.0854700854701
371,189,320,972,220.2469135802469
373,668,1033,322,220.90062111801242
377,1091,242,236,222.20338983050848
382,421,379,2195,218.82687927107062
383,42,88,4218,217.3376007586534
389,1054,220,1160,219.0491379310345
392,1433,329,2168,217.32933579335793
395,25,245,166,220.13855421686748
396,1383,314,3756,216.17039403620873
398,663,358,793,217.0529634300126
403,1246,334,400,214.345
404,874,327,1029,212.47813411078718
